Id,InstructorId,SubjectId,Title,Language,ThumbnailUrl,Price,Rating,Duration,TotalEnrolled,DeductionAmount,LastUpdatedDate,UploadDate,Level,DeductionType,LearningObjectives,LecturesLinks,EnrolledStudentsIds,PictureUrl,Reviews
1,10,2,Embedded Linux Development,Arabic,https://dummyimage.com/157x777,259,2.2,68,477,6,2024-01-07,2024-04-25,Advanced,Percentage,"By the end of this course, students will be able to:
1. Understand the fundamentals of embedded Linux development
2. Configure and build the Linux kernel for embedded systems
3. Develop and deploy applications on embedded Linux platforms
4. Utilize tools for testing, debugging, and performance optimization in embedded Linux development
5. Implement device drivers and kernel modules for embedded systems",https://www.cross.info/,"[62452, 2629, 24517, 29007, 23716, 79047, 81230, 79754, 43702, 64288, 60146, 16787, 99115, 99473, 4417, 89753, 18693, 20373, 92353]",https://dummyimage.com/708x908,"[{'Rating': 3.8, 'Comment': 'Let manage feel material charge leader toward free. Network professor realize catch level.'}]"
1,4,3,iOS App Development,English,https://dummyimage.com/296x190,239,3.3,28,364,3,2024-04-29,2024-01-20,Beginner,Percentage,"Students will be able to:
- Design user-friendly and aesthetically pleasing iOS applications.
- Develop functional and efficient code using Swift programming language.
- Implement various iOS features and capabilities, such as geolocation, notifications, and user authentication.
- Test and debug iOS applications to ensure they are free of errors and run smoothly.
- Deploy iOS applications to the App Store and understand the submission process.
- Continuously learn and adapt to new iOS technologies and updates in the mobile development field.",https://montgomery-green.com/,"[6545, 57534, 96532, 25510, 75420, 56280, 56160]",https://placekitten.com/992/292,"[{'Rating': 2.5, 'Comment': 'Mrs future heavy say. Kitchen east civil sister put him represent.'}, {'Rating': 4.8, 'Comment': 'Sit employee order go effect special field Mr. Provide treat have thing responsibility professional move scene.'}, {'Rating': 4.3, 'Comment': 'Produce within others product seem. Not loss move. Make note age wide world yard table.'}, {'Rating': 4.4, 'Comment': 'Itself create cold shoulder town just. Push simple dinner serve task the. Performance claim oil turn at.'}]"
1,8,3,Android Application Development,Arabic,https://dummyimage.com/78x482,851,3.5,72,921,10,2024-01-14,2024-03-02,Intermediate,Fixed,"By the end of the Android Application Development course, students will be able to:
1. Design and develop user-friendly Android applications using Java and Android Studio.
2. Implement various features such as user interfaces, data storage, networking, and multimedia within Android applications.
3. Understand and navigate the Android development ecosystem, including best practices for app distribution and monetization.
4. Troubleshoot and debug common issues that arise during Android application development.
5. Collaborate with team members to effectively work on larger scale Android development projects.",https://willis-garner.org/,"[10542, 69017, 71140, 90642, 45261, 54318, 57686]",https://placekitten.com/1/742,"[{'Rating': 1.9, 'Comment': 'Fish edge attorney shake. Our present third focus indicate involve.'}, {'Rating': 2.2, 'Comment': 'Trip message glass whether nature. Under manager president charge evening too.'}, {'Rating': 1.4, 'Comment': 'Agreement tree claim work base choice central interesting. Past anything moment including understand reality. Vote east southern be turn resource.'}, {'Rating': 2.6, 'Comment': 'Music shoulder often street impact free process. Individual them what machine common southern even. Drop make research.'}]"
1,8,3,Cross-Platform Mobile Development,Arabic,https://picsum.photos/194/399,105,4.9,18,366,6,2024-01-14,2024-03-16,Beginner,Fixed,"Students will be able to:
- Develop mobile applications that can run on multiple platforms such as iOS and Android
- Utilize frameworks and tools for cross-platform development like React Native or Xamarin
- Understand fundamental principles of mobile development including UI/UX design, data storage, and API integration
- Test and debug mobile applications across different devices and platforms
- Deploy and distribute mobile applications to app stores for public use",https://www.choi-brown.net/,"[99398, 77433, 91674, 39963, 5790, 22654, 94560, 80767, 63455, 43145, 41193, 71184, 84516, 65213, 54041, 25045, 36309, 23866, 11821, 77735, 21150, 40729, 25088, 87985, 96746, 79647, 21108, 32337, 22601, 24703, 38987, 41580, 37619, 71774, 35855, 84187, 48944, 18790, 93154, 65236, 64655, 93794, 57910]",https://dummyimage.com/841x122,"[{'Rating': 2.8, 'Comment': 'Above learn loss kitchen increase security statement class. Friend southern fire bed cell blood way away. Win walk green admit receive easy shake.'}]"
1,4,3,Mobile UX/UI Design,English,https://placekitten.com/603/974,915,2.5,68,786,8,2024-01-18,2024-03-29,Beginner,Fixed,"- Understand the principles of user experience (UX) and user interface (UI) design for mobile applications
- Develop proficiency in creating wireframes and prototypes for mobile apps
- Learn to conduct user research and usability testing to gather feedback for iterative design improvements
- Gain knowledge of mobile design patterns and best practices for creating intuitive and engaging user experiences
- Acquire skills in designing responsive and accessible mobile interfaces for diverse user needs and devices.",https://roberts.com/,"[74825, 4379, 94105, 95053, 2819, 80401, 80843, 47410, 99513, 79031, 80419, 18074, 51280]",https://dummyimage.com/843x544,"[{'Rating': 3.0, 'Comment': 'Nor suffer reality great view. Travel national represent.'}, {'Rating': 2.0, 'Comment': 'Simple son affect room them sea. Outside poor force can very which federal.'}, {'Rating': 4.4, 'Comment': 'And challenge trip energy.'}, {'Rating': 3.3, 'Comment': 'Hold reach true camera development field. Finally company cultural a water.'}]"
1,1,4,Python Programming Basics,English,https://dummyimage.com/42x317,977,1.8,30,154,5,2024-01-05,2024-01-25,Beginner,Percentage,"- Understand basic Python syntax and data types
- Create and manipulate variables, loops, and conditional statements in Python
- Write and execute Python functions
- Utilize Python libraries and modules for additional functionality
- Apply object-oriented programming concepts in Python
- Develop basic Python programs to solve real-world problems",http://www.wright.com/,"[44334, 9029, 53839, 80102, 91886, 26792, 66600, 55113, 12232, 38984, 14576, 8524, 83535, 69693, 51299, 33095, 46849, 44241, 13680, 94502, 20881, 19185, 79013, 8100]",https://placekitten.com/309/282,"[{'Rating': 3.1, 'Comment': 'Difference himself number point she. Visit imagine again appear take suggest many. Hard visit catch large certainly cover. Citizen so long base politics.'}, {'Rating': 1.4, 'Comment': 'Effort couple care help character.'}, {'Rating': 2.5, 'Comment': 'Can concern general prepare attention amount. Lawyer meet set child while worker approach decade.'}, {'Rating': 4.2, 'Comment': 'Idea baby happen choice matter including easy. Usually economic man real young. Mission teacher base maybe establish nothing which.'}, {'Rating': 4.2, 'Comment': 'Reality record smile avoid. Visit authority foot despite poor cost instead southern. Real painting activity source.'}, {'Rating': 3.7, 'Comment': 'Reality coach compare particularly keep doctor. Stock cause college many entire. Despite thus hundred area despite always degree.'}]"
1,1,4,Java Essentials,English,https://picsum.photos/455/89,395,4.6,29,777,5,2024-02-02,2024-03-18,Intermediate,Percentage,"By the end of the Java Essentials course, students will be able to:
- Understand the basic syntax of Java
- Implement control flow structures such as loops and conditionals
- Create and use classes and objects in Java programs
- Manipulate arrays and collections
- Use exception handling to write robust code
- Understand the principles of object-oriented programming in Java",http://dixon-gaines.net/,"[34207, 4932, 6965, 58231]",https://picsum.photos/805/532,"[{'Rating': 1.4, 'Comment': 'Assume about each good she after. Cause blue risk miss set happen bit. Civil approach camera. Current try individual late close.'}, {'Rating': 4.2, 'Comment': 'Identify dog amount rich there moment. Scene low fact skill collection vote role already. Course environment book live evening be.'}, {'Rating': 4.3, 'Comment': 'Road energy car beyond understand stop. By door each none. Able want school lead beat.'}, {'Rating': 4.7, 'Comment': 'Drop interview before mission heavy above even. Story foreign former today. Perhaps through add public he. Treatment fill TV task where once seat.'}, {'Rating': 4.6, 'Comment': 'Grow home computer policy cell writer trade. Present allow which five oil myself. Before again design book.'}, {'Rating': 4.5, 'Comment': 'Buy enough offer book plan. Travel campaign ask yet. Begin about necessary piece.'}]"
1,6,4,C++ Programming Fundamentals,Arabic,https://picsum.photos/932/391,692,1.2,57,941,4,2024-04-13,2024-02-09,Intermediate,Fixed,"By the end of this course, students will be able to: Understand the basic syntax and structure of C++ programming language. Develop and debug simple C++ programs. Utilize fundamental programming concepts such as variables, loops, and conditional statements in C++. Implement object-oriented programming principles in C++ code. Analyze and solve problems using C++ programming techniques.",https://www.adkins.biz/,"[71947, 27254, 28149, 50501, 80007, 49952, 6237, 17263]",https://placekitten.com/590/980,"[{'Rating': 3.4, 'Comment': 'Give green chair but book. Prevent can but.'}, {'Rating': 3.3, 'Comment': 'They result fly PM town exactly trip under. Of off one tough quickly opportunity.'}, {'Rating': 4.3, 'Comment': 'Choice wait push any lead common. Hospital friend character language.'}, {'Rating': 1.2, 'Comment': 'Agent want quite allow mouth animal.'}, {'Rating': 1.5, 'Comment': 'Recently paper class need. Public real attention want him eye rise central.'}]"
1,6,4,Web Development with JavaScript,Arabic,https://placekitten.com/890/880,350,1.9,66,800,8,2024-03-23,2024-02-06,Intermediate,Fixed,"- Understand the fundamentals of web development using JavaScript
- Develop interactive and dynamic web applications with JavaScript
- Utilize JavaScript frameworks and libraries to enhance web development projects
- Implement best practices for coding, debugging, and testing JavaScript applications
- Optimize performance and improve user experience through JavaScript techniques
- Collaborate with team members to effectively manage and maintain JavaScript codebases.",https://skinner.com/,"[66174, 68664, 68214, 23487, 75988, 28226, 80578, 10825, 3692, 63413, 86474, 80165, 50494, 94502, 24339, 13050, 90528, 69211, 3082, 37340, 61571, 48297, 61064, 6016, 79543, 78713, 97896, 58849, 15028, 25772]",https://picsum.photos/230/649,"[{'Rating': 3.6, 'Comment': 'Laugh who enough include industry own produce. Toward business marriage.'}, {'Rating': 3.3, 'Comment': 'Arm character analysis radio cultural eight. Short media speech evidence ok travel up surface.'}]"
1,1,4,Object-Oriented Programming in Python,English,https://picsum.photos/892/187,910,2.0,3,611,7,2024-01-09,2024-02-08,Beginner,Percentage,"By the end of this course, students will be able to:
1. Understand the principles and concepts of object-oriented programming in Python.
2. Demonstrate proficiency in creating and using classes, objects, and methods in Python.
3. Apply inheritance and polymorphism to design and implement complex programs.
4. Utilize encapsulation and abstraction to create modular and maintainable code.
5. Implement object-oriented design patterns to solve real-world programming challenges.",https://george.org/,"[53248, 85831, 17601, 92584, 98657, 1221, 77835, 14467, 96571, 24321, 60836, 2753, 57750, 25404, 80600, 79486, 45190, 26455, 82292, 88333, 98225, 52137, 55773, 93803, 17243, 47329, 84514, 37413, 30562, 74983, 78306, 19702, 15702, 2005, 83382, 21574, 23958, 42966, 33617, 47972, 38906, 96883, 844, 58524, 77145, 32559, 30226, 94829, 76234]",https://dummyimage.com/769x237,"[{'Rating': 2.1, 'Comment': 'Look half magazine. Bar possible natural hospital capital nice right.'}, {'Rating': 2.1, 'Comment': 'Report former art assume. Him boy pick. Forward thing many nothing most information.'}, {'Rating': 2.4, 'Comment': 'Watch performance whom nor trial wish. Star anything national contain.'}]"
1,8,4,Advanced Java Programming,Arabic,https://picsum.photos/717/632,322,3.5,14,832,10,2024-01-16,2024-04-19,Advanced,Fixed,"1. Develop proficiency in using advanced Java programming concepts such as multithreading, networking, and GUI programming.
2. Demonstrate an understanding of software design patterns and how to implement them in Java applications.
3. Explore and utilize advanced data structures and algorithms in Java programming.
4. Enhance skills in debugging, testing, and maintaining complex Java applications.
5. Complete hands-on projects to apply advanced Java programming concepts in real-world scenarios.",http://bailey-garcia.com/,"[85841, 86095, 72684, 39220, 59201, 39425, 81864, 68379, 30008, 72680, 65067, 27910, 60482, 80701, 16923, 54556, 44832, 21319, 80816]",https://placekitten.com/363/1005,"[{'Rating': 2.0, 'Comment': 'Common and third instead sometimes population pay. And front both learn them citizen prevent. Rest mouth truth people vote capital less.'}, {'Rating': 1.3, 'Comment': 'Wear time nation laugh. Different drive artist world those manage. Message us goal base low option. Even author third war difference away.'}, {'Rating': 3.2, 'Comment': 'Else record short maintain. Conference most stay still look require personal. Remember hear reach learn begin name. Carry arm opportunity per how produce American.'}, {'Rating': 2.8, 'Comment': 'Goal worry grow Mr. Very city back imagine.'}, {'Rating': 1.3, 'Comment': 'Power me Republican network. Gas item brother consider will. Candidate usually together despite throughout energy both.'}, {'Rating': 1.3, 'Comment': 'Far center laugh history nor. Area table sound within full such.'}, {'Rating': 2.1, 'Comment': 'Serious never far nature only benefit whose risk. I my language about school what. Attack report reason bill sport.'}, {'Rating': 2.7, 'Comment': 'Music claim most significant. Personal policy citizen traditional outside describe really.'}, {'Rating': 3.8, 'Comment': 'Month reach sea actually only free various.'}, {'Rating': 4.1, 'Comment': 'Pick between cost particular well. Kind should including day town catch. Recently industry garden individual despite million.'}]"
1,1,4,Functional Programming in Haskell,English,https://dummyimage.com/941x534,398,4.7,41,885,6,2024-04-05,2024-03-16,Beginner,Fixed,"Students will be able to:
- Understand the basic principles of functional programming
- Use Haskell to write functional programs
- Apply higher-order functions, pattern matching, and recursion in Haskell
- Create and manipulate data structures in a functional programming paradigm
- Implement solutions to programming problems using functional programming concepts",https://www.robertson.info/,"[97917, 46743, 6437, 32852, 96210, 63768, 9235, 44241, 86495, 80489, 5341, 93250, 31409, 82295, 58227, 99820, 15002, 67507, 49455, 74545, 87531, 1016, 43903, 17687, 90854, 69603, 88392, 45954, 9591, 91779, 85315, 70877, 77224, 737, 92704, 79605, 88249, 77493, 96850, 55003, 86793, 54104, 45784, 70029, 62060]",https://dummyimage.com/919x149,"[{'Rating': 4.6, 'Comment': 'Present reason happy heavy. Myself never investment outside player hair.'}]"
1,1,4,Web Scraping with Python,English,https://placekitten.com/380/794,594,3.6,44,839,8,2024-03-16,2024-01-10,Beginner,Percentage,"Students will be able to:
- Understand the basics of web scraping and its applications
- Use Python libraries such as BeautifulSoup and Requests to scrape data from websites
- Extract specific information from web pages using CSS selectors and Xpath
- Handle different types of data such as text, images, and tables
- Learn best practices for ethical web scraping and avoiding legal issues",https://www.pierce.org/,"[49233, 73494, 47741, 39573, 852, 52913, 4384, 84979, 34315, 2899, 62277, 96006, 89095, 92822, 86578, 64529, 36915, 97820, 69622]",https://picsum.photos/371/930,"[{'Rating': 4.0, 'Comment': 'Anyone beat like. Describe within meeting late right former.'}, {'Rating': 2.2, 'Comment': 'Space finally month small my. Exist democratic example sell account. Remain science ready miss.'}, {'Rating': 5.0, 'Comment': 'Key detail more stop. Actually important Congress look. Ball interest after reveal item.'}, {'Rating': 3.8, 'Comment': 'Occur idea right morning main service clear. Send do ground society.'}, {'Rating': 3.4, 'Comment': 'Part move before career. Agree soon goal maybe serious. Wife news expect building be.'}]"
1,6,4,JavaScript Frameworks: React and Angular,Arabic,https://placekitten.com/241/279,155,3.2,84,572,10,2024-04-23,2024-04-29,Beginner,Fixed,"By the end of this course, students will be able to:
- Understand the key concepts and differences between React and Angular frameworks
- Develop interactive web applications using React and Angular
- Implement state management using libraries such as Redux and NgRx
- Optimize performance and improve user experience in their web applications
- Create reusable components and maximize code reusability
- Incorporate external APIs and services into their React and Angular projects
- Effectively troubleshoot and debug issues in their applications.",http://brown.org/,"[48527, 64492, 88162, 89727, 6658, 99359, 1076]",https://picsum.photos/292/557,"[{'Rating': 4.7, 'Comment': 'Moment draw which option wear prove minute. Opportunity network leg when. Reality bit system investment.'}, {'Rating': 1.5, 'Comment': 'Ground lay best prove provide. Enjoy decade capital imagine. Mention none most positive story.'}, {'Rating': 2.4, 'Comment': 'Key night week three western rock pass. From career seven ahead late. Air positive safe become general drive student bill.'}]"
1,2,4,Modern C++ Programming,English,https://dummyimage.com/836x736,165,1.4,34,749,2,2024-01-14,2024-01-08,Advanced,Fixed,"Upon completion of this course, students will be able to:
- Understand the principles of modern C++ programming
- Write efficient and effective C++ code using best practices
- Utilize object-oriented programming concepts in C++
- Implement data structures and algorithms in C++
- Debug and troubleshoot C++ code effectively
- Utilize the standard template library (STL) in C++ programming",http://boyer-martinez.com/,"[62959, 43522]",https://placekitten.com/7/938,"[{'Rating': 2.0, 'Comment': 'Leg company nice recognize work night building Mrs. Yard rise work particularly.'}, {'Rating': 4.7, 'Comment': 'Last feeling specific left environmental share will education. Under unit best serve even situation. Be interview student name become prepare fall.'}, {'Rating': 4.6, 'Comment': 'Research day position. At challenge affect away would send.'}, {'Rating': 4.0, 'Comment': 'Yourself today success pay. Rich special issue on serve nation. Pm PM analysis run rich prove.'}]"
